ref_id_side,route,count
23708028R,204X,5
23708064L,105X,13
23708130L,405X,8
23708130R,405X,10
23708131L,405X,2
23708131R,405X,3
23708133R,405X,2
23708134L,405X,13
23708134R,405X,13
23708135L,104X,1
23708135R,104X,3
23708136L,104X,1
23708136R,104X,5
23708137L,104X,2
23708137R,104X,3
23708138L,104X,4
23708138R,104X,2
23708139L,103X,4
23708139R,103X,6
23708140L,404X,2
23708140R,404X,2
23708141L,404X,3
23708141R,404X,2
23708145L,203X,5
23708145R,203X,4
23708146L,203X,3
23708146R,203X,3
23708338L,304X,2
23708339L,304X,1
23708422L,102X,10
23708422R,102X,1
23708519R,104X,5
23708520R,104X,2
23708612L,404X,2
23708612R,404X,1
23708614R,403X,7
23708615R,403X,4
23708616R,403X,3
23708728L,204X,10
23708728R,204X,7
23708731L,205X,2
23708732L,205X,3
23708732R,205X,1
23708762R,302X,7
23708764L,302X,10
23708764R,302X,10
23708866L,503X,1
23708866R,503X,3
23708875L,503X,7
23708875R,503X,7
23708913L,303X,8
23708913R,303X,11
23708914L,303X,10
23708914R,303X,10
23708978L,105X,1
23708978R,105X,4
23708979L,105X,2
23708979R,105X,1
23708980L,105X,1
23708980R,105X,1
23708981L,105X,4
23708998L,104X,5
23708998R,104X,6
23708999L,104X,8
23708999R,104X,9
23709000L,104X,9
23709000R,104X,10
23709002L,105X,1
23709004R,105X,5
23709005R,105X,2
23709006L,105X,2
23709006R,105X,4
23709162L,402X,2
23709162R,403X,4
23709163L,402X,3
23709163R,403X,1
23709165L,402X,4
23709165R,403X,2
23709283L,304X,5
23709283R,304X,5
23709490L,205X,10
23709490R,205X,8
23709491L,205X,19
23709491R,205X,18
23709499R,304X,3
23709500L,304X,4
23709500R,304X,3
23709608L,204X,13
23709608R,204X,13
23709656L,203X,3
23709662L,203X,4
23709662R,203X,5
23709663L,203X,9
23709663R,203X,4
23709664L,203X,9
23709664R,203X,10
23709778L,303X,4
23709778R,303X,3
23709841L,405X,4
23709841R,405X,4
23709944L,404X,2
23710028L,305X,11
23710028R,305X,12
23710029L,305X,4
23710030L,305X,4
23710035L,102X,1
23710035R,102X,50
23710036L,102X,2
23710036R,102X,1
23710037R,102X,1
23710060L,504X,4
23710060R,504X,2
23710196L,304X,10
23710196R,304X,12
23710218L,104X,7
23710218R,104X,7
23710221L,104X,7
23710221R,104X,8
23710223L,104X,8
23710223R,104X,7
23710225L,104X,9
23710225R,104X,10
23710227L,104X,5
23710227R,104X,5
23710245L,205X,1
23710338L,104X,2
23710338R,104X,3
23710341L,104X,3
23710341R,104X,5
23710342L,104X,5
23710342R,104X,7
23710344L,105X,4
23710344R,105X,11
23710418L,304X,5
23710421R,304X,3
23710422R,304X,1
23710516L,504X,7
23710516R,504X,6
23710540L,405X,2
23710540R,405X,2
23710555L,405X,7
23710555R,405X,5
23710556L,405X,3
23710556R,405X,3
23710557L,405X,2
23710557R,405X,3
23710558L,405X,4
23710558R,405X,3
23710559L,405X,1
23710559R,405X,3
23710560L,405X,8
23710560R,405X,8
23710619L,202X,2
23710619R,202X,3
23710632L,305X,10
23710632R,302X,10
23710653L,202X,7
